_index,attribute,louvain
FCER1A-pro,protein,1
SiglecH.SIGLEC-pro,protein,4
Folate.Receptor-pro,protein,4
CD63-pro,protein,0
CD55-pro,protein,4
NK.1.1.KLRB1-pro,protein,9
CD49d.ITGA4-pro,protein,4
CD45.PTPRC-pro,protein,0
CD41.ITGA2B-pro,protein,13
CD326.Ep.CAM-pro,protein,1
CD309.KDR-pro,protein,1
P2RY12-pro,protein,1
Ly.6A.E-pro,protein,1
CD304.NPR1-pro,protein,1
ErythroidCells.LY76-pro,protein,4
CD201.EPCR-pro,protein,4
Notch1-pro,protein,4
ESAM-pro,protein,1
PanendothelialCellAntigen-pro,protein,16
CD102.ICAM2-pro,protein,13
CD117.KIT-pro,protein,1
MAdCAM.1-pro,protein,4
Pnisr,rna,4
Polr2a,rna,3
Pnck,rna,10
Pnmal1,rna,5
Pole,rna,4
Poll,rna,6
Pms1,rna,4
Pmpca,rna,12
Polr1b,rna,0
Polrmt,rna,12
Ppm1l,rna,0
Por,rna,7
Pou2f2,rna,1
Pou3f2,rna,0
Pou3f3,rna,4
Pou3f4,rna,0
Pou4f1,rna,7
Ppm1g,rna,1
Plxnd1,rna,17
Ppp1r11,rna,9
Ppp1r17,rna,7
Ppp1r9a,rna,0
Ppp2r2d,rna,14
Ppp5c,rna,0
Ppwd1,rna,10
Pomgnt2,rna,9
Plxdc2,rna,6
Pln,rna,11
Plp2,rna,17
Pgam2,rna,11
Pfkp,rna,8
Pfkfb2,rna,16
Pf4,rna,7
Pex2,rna,8
Pex14,rna,6
Pex1,rna,8
Peg3,rna,13
Pgm2l1,rna,5
Pecr,rna,2
Pea15a,rna,1
Pdxk,rna,3
Pdp2,rna,14
Pdgfra,rna,18
Pdcd4,rna,2
Pdcd2l,rna,13
Pcsk5,rna,2
Pcdhga12,rna,5
Peak1,rna,7
Plppr2,rna,3
Phc2,rna,10
Phf8,rna,0
Pqbp1,rna,12
Plekhm1,rna,8
Plekhg5,rna,6
Plekha5,rna,0
Pld2,rna,12
Plagl1,rna,12
Pla2g4a,rna,13
Pla2g16,rna,12
Phf21b,rna,0
Pknox2,rna,3
Pkm,rna,1
Pklr,rna,19
Pkdcc,rna,2
Pip4k2c,rna,7
Pik3r1,rna,4
Pigyl,rna,0
Phox2b,rna,19
Phospho2,rna,6
Pkmyt1,rna,6
Pqlc1,rna,2
Prkcz,rna,12
Prex1,rna,17
Rgma,rna,7
Rfx4,rna,0
Rfc1,rna,0
Reln,rna,12
Relb,rna,2
Rcor2,rna,1
Rbpms,rna,10
Rbm4b,rna,5
Rbm25,rna,1
Rbfox3,rna,7
Rax,rna,6
Raver1,rna,0
Rassf4,rna,0
Rassf3,rna,11
Rasl10b,rna,6
Rara,rna,16
Ralb,rna,13
Rgmb,rna,7
Rgs4,rna,4
Rian,rna,8
Rif1,rna,1
Rpl4,rna,5
Rpl38,rna,1
Rpl36,rna,5
Rpl34,rna,5
Rpl31.ps17,rna,1
Rpl3,rna,5
Rpl29,rna,8
Rpl18a,rna,5
Rad17,rna,5
Rpl18,rna,3
Rnpepl1,rna,0
Rnf185,rna,12
Rnf165,rna,1
Rnf149,rna,17
Rnf141,rna,12
Rnf10,rna,5
Rnd2,rna,17
Ring1,rna,7
Rpap2,rna,2
Rab6b,rna,7
Rab3d,rna,18
Rab3c,rna,8
Psma2,rna,5
Psip1,rna,1
Psen2,rna,3
Prrg3,rna,6
Prrg2,rna,13
Prrc2c,rna,1
Prrc2b,rna,6
Prr11,rna,7
Psmd5,rna,17
Prph,rna,2
Prpf3,rna,5
Prox1,rna,2
Prmt2,rna,5
Prkrip1,rna,8
Prkg2,rna,6
Prkd2,rna,1
Pcdh19,rna,4
Prim2,rna,16
Prpf38b,rna,5
Prdm5,rna,7
Psmg2,rna,0
Pth1r,rna,4
Rab3b,rna,10
Rab2b,rna,2
Rab18,rna,4
Rab11fip1,rna,3
RP23.60P23.4,rna,14
RP23.322E23.5,rna,3
R3hdm2,rna,19
Qk,rna,1
Ptch1,rna,9
Pxmp4,rna,0
Ptprz1,rna,4
Ptpru,rna,4
Ptprj,rna,10
Ptprf,rna,1
Ptpn5,rna,3
Ptpn21,rna,3
Ptn,rna,7
Ptma,rna,1
Ptrf,rna,19
Pcdh17,rna,7
AU040320,rna,16
Pbx3,rna,1
Mybl1,rna,7
Mus81,rna,9
Mul1,rna,6
Mtrf1l,rna,9
Mtcl1,rna,0
Mtap7d3,rna,2
Mt2,rna,2
Mybpc3,rna,11
Mt1,rna,13
Msx1,rna,17
Msi1,rna,1
Msantd4,rna,15
Mrps2,rna,5
Mrpl34,rna,16
Mrpl22,rna,9
Mrpl21,rna,0
Msx3,rna,0
Mydgf,rna,8
Myh6,rna,11
Myh7,rna,11
Ncam1,rna,1
Nbn,rna,4
Nbl1,rna,10
Nav2,rna,0
Narfl,rna,5
Nap1l1,rna,1
N6amt1,rna,5
Myom1,rna,11
Myocd,rna,9
Myo1e,rna,0
Myo10,rna,3
Mylk,rna,6
Myl9,rna,11
Myl7,rna,11
Myl4,rna,11
Myl3,rna,11
Myl2,rna,11
Mrip.ps,rna,2
Nckap5,rna,0
Mrc2,rna,16
Mpped1,rna,4
Mecom,rna,17
Mdk,rna,9
Mdfic,rna,17
Mcts2,rna,16
Mcts1,rna,5
Mcm6,rna,5
Mbtd1,rna,9
Mecp2,rna,1
Mavs,rna,3
Marveld1,rna,3
Mars,rna,15
Mark3,rna,1
Marcks,rna,1
March9,rna,6
Mapk8ip1,rna,12
Map4k5,rna,6
Mat2a,rna,1
Med25,rna,1
Mef2c,rna,2
Meis1,rna,10
Mpp1,rna,6
Mmrn1,rna,0
Mmp2,rna,19
Mmab,rna,7
Mlc1,rna,2
Mkx,rna,2
Mkl2,rna,6
Mir6236,rna,7
Mid1ip1,rna,12
Mical2,rna,11
Mgll,rna,9
Mfsd5,rna,14
Mettl6,rna,13
Mettl22,rna,13
Mest,rna,13
Mesdc1,rna,8
Meis2,rna,1
Mpped2,rna,9
Ncl,rna,0
Ndnf,rna,0
Ndrg2,rna,8
Nyap1,rna,3
Numa1,rna,0
Nudt14,rna,18
Nudt13,rna,2
Nudt1,rna,18
Nudcd3,rna,10
Nudcd1,rna,3
Obscn,rna,11
Nucks1,rna,4
Ntn1,rna,6
Ntm,rna,10
Nsmce4a,rna,8
Nsd1,rna,0
Nrxn3,rna,14
Nrxn1,rna,4
Nrsn1,rna,2
Nuak2,rna,8
Oc90,rna,10
Odc1,rna,1
Ogfod2,rna,4
Pax6,rna,4
Pax3,rna,0
Parp11,rna,9
Parm1,rna,9
Pan3,rna,4
Rpl5,rna,5
Pak1,rna,0
Pacs2,rna,6
P4ha2,rna,19
P3h1,rna,5
Otx2,rna,0
Otx1,rna,4
Orc3,rna,2
Orai3,rna,6
Onecut2,rna,7
Olfm1,rna,7
Oip5,rna,8
Nrp1,rna,7
Nrde2,rna,9
Nr4a2,rna,6
Nr2f2,rna,9
Ngdn,rna,0
Nfib,rna,4
Neurog1,rna,3
Neurod1,rna,7
Nes,rna,1
Nemf,rna,2
Nell2,rna,11
Nelfb,rna,1
Nek1,rna,8
Nefm,rna,7
Nefl,rna,7
Nebl,rna,11
Ndufv1,rna,2
Ndufaf5,rna,0
Ndufaf3,rna,2
Ndufa2,rna,1
Ndst3,rna,2
Nhp2l1,rna,1
Pcbp4,rna,2
Ninj1,rna,19
Nkd1,rna,0
Nr2f1,rna,4
Nr2e1,rna,4
Nprl3,rna,15
Npr2,rna,7
Nppa,rna,11
Npm3,rna,3
Npm1,rna,1
Nop56,rna,1
Nol4l,rna,3
Noc3l,rna,4
Nnat,rna,13
Nmral1,rna,5
Nlk,rna,6
Nkx6.2,rna,9
Nkx6.1,rna,9
Nkx2.1,rna,13
Nkd2,rna,5
Nkain4,rna,9
Pak3,rna,4
Rps6kc1,rna,0
Rps17,rna,5
Ttc30a1,rna,13
Ttc14,rna,4
Tsta3,rna,16
Tspyl2,rna,3
Tspan3,rna,0
Tspan11,rna,18
Tsg101,rna,4
Ttn,rna,11
Trpm4,rna,6
Trpc1,rna,3
Trp53inp2,rna,2
Trp53i11,rna,1
Trp53bp1,rna,0
Trmt1,rna,9
Trim71,rna,0
Trim67,rna,2
Trpm1,rna,9
Ttr,rna,12
Tuba1a,rna,1
Tuba1b,rna,1
Usb1,rna,15
Upp1,rna,2
Unc5c,rna,0
Unc5b,rna,6
Uhrf2,rna,7
Ubxn4,rna,6
Ubox5,rna,4
Ubn2,rna,0
Ube2t,rna,15
Ube2s,rna,0
Ube2j1,rna,10
Ube2e3,rna,8
Ubald1,rna,3
Tusc3,rna,2
Tulp4,rna,3
Tubb5,rna,1
Tubb2b,rna,1
Tril,rna,9
Tppp3,rna,0
Tpm3.rs7,rna,5
Tpm1,rna,16
Tmem132e,rna,3
Tmeff1,rna,10
Tm7sf2,rna,2
Tm4sf1,rna,3
Tm2d1,rna,16
Tle2,rna,17
Thsd7b,rna,7
Thap6,rna,10
Tgm2,rna,11
Tgfbi,rna,0
Tgfb2,rna,9
Tfe3,rna,13
Tfap2c,rna,4
Tfap2b,rna,0
Tfap2a,rna,2
Tek,rna,2
Tef,rna,15
Tmem176b,rna,8
Usp12,rna,2
Tmem181a,rna,5
Tmem2,rna,7
Tpcn1,rna,3
Tox3,rna,1
Tox2,rna,9
Tns2,rna,3
Tnnt2,rna,11
Tnni3,rna,11
Tnni2,rna,11
Tnni1,rna,11
Tnnc1,rna,11
Tnik,rna,7
Tmub2,rna,6
Tmtc2,rna,13
Tmsb4x,rna,1
Tmsb10,rna,12
Tmod1,rna,11
Tmem47,rna,5
Tmem38b,rna,2
Tmem184c,rna,10
Tcn2,rna,6
Utp11l,rna,0
Vcan,rna,13
Zfp626,rna,6
Zfp619,rna,16
Zfp618,rna,5
Zfp560,rna,13
Zfp536,rna,1
Zfp507,rna,5
Zfp462,rna,5
Zfp655,rna,6
Zfp449,rna,2
Zfp260,rna,14
Zfp148,rna,5
Zfhx4,rna,3
Zfhx3,rna,5
Zdhhc3,rna,3
Zdhhc2,rna,4
Zdhhc13,rna,2
Zfp41,rna,0
Zfp691,rna,10
Zfp748,rna,7
Zfp758,rna,19
mt.Co3,rna,5
mt.Co1,rna,5
mt.Atp8,rna,3
Zscan29,rna,3
Zscan20,rna,8
Zscan18,rna,19
Zkscan6,rna,15
Zic4,rna,0
Zic1,rna,3
Zgrf1,rna,3
