_index,attribute,louvain
FCER1A-pro,protein,2
SiglecH.SIGLEC-pro,protein,2
Folate.Receptor-pro,protein,2
CD63-pro,protein,5
CD55-pro,protein,2
NK.1.1.KLRB1-pro,protein,3
CD49d.ITGA4-pro,protein,4
CD45.PTPRC-pro,protein,5
CD41.ITGA2B-pro,protein,5
CD326.Ep.CAM-pro,protein,2
CD309.KDR-pro,protein,2
P2RY12-pro,protein,2
Ly.6A.E-pro,protein,2
CD304.NPR1-pro,protein,2
ErythroidCells.LY76-pro,protein,2
CD201.EPCR-pro,protein,2
Notch1-pro,protein,2
ESAM-pro,protein,2
PanendothelialCellAntigen-pro,protein,5
CD102.ICAM2-pro,protein,5
CD117.KIT-pro,protein,2
MAdCAM.1-pro,protein,2
Pnisr,rna,4
Polr2a,rna,3
Pnck,rna,1
Pnmal1,rna,3
Pole,rna,4
Poll,rna,0
Pms1,rna,4
Pmpca,rna,2
Polr1b,rna,2
Polrmt,rna,0
Ppm1l,rna,1
Por,rna,6
Pou2f2,rna,2
Pou3f2,rna,2
Pou3f3,rna,2
Pou3f4,rna,2
Pou4f1,rna,6
Ppm1g,rna,2
Plxnd1,rna,1
Ppp1r11,rna,0
Ppp1r17,rna,6
Ppp1r9a,rna,0
Ppp2r2d,rna,1
Ppp5c,rna,2
Ppwd1,rna,1
Pomgnt2,rna,6
Plxdc2,rna,0
Pln,rna,7
Plp2,rna,1
Pgam2,rna,7
Pfkp,rna,0
Pfkfb2,rna,1
Pf4,rna,1
Pex2,rna,1
Pex14,rna,0
Pex1,rna,0
Peg3,rna,3
Pgm2l1,rna,3
Pecr,rna,0
Pea15a,rna,2
Pdxk,rna,1
Pdp2,rna,5
Pdgfra,rna,0
Pdcd4,rna,1
Pdcd2l,rna,5
Pcsk5,rna,1
Pcdhga12,rna,3
Peak1,rna,6
Plppr2,rna,0
Phc2,rna,4
Phf8,rna,2
Pqbp1,rna,0
Plekhm1,rna,0
Plekhg5,rna,0
Plekha5,rna,2
Pld2,rna,5
Plagl1,rna,0
Pla2g4a,rna,1
Pla2g16,rna,0
Phf21b,rna,2
Pknox2,rna,0
Pkm,rna,2
Pklr,rna,1
Pkdcc,rna,1
Pip4k2c,rna,1
Pik3r1,rna,4
Pigyl,rna,1
Phox2b,rna,4
Phospho2,rna,0
Pkmyt1,rna,1
Pqlc1,rna,1
Prkcz,rna,0
Prex1,rna,1
Rgma,rna,1
Rfx4,rna,2
Rfc1,rna,5
Reln,rna,5
Relb,rna,1
Rcor2,rna,2
Rbpms,rna,1
Rbm4b,rna,3
Rbm25,rna,2
Rbfox3,rna,6
Rax,rna,0
Raver1,rna,5
Rassf4,rna,5
Rassf3,rna,7
Rasl10b,rna,1
Rara,rna,0
Ralb,rna,5
Rgmb,rna,6
Rgs4,rna,4
Rian,rna,0
Rif1,rna,2
Rpl4,rna,3
Rpl38,rna,2
Rpl36,rna,3
Rpl34,rna,3
Rpl31.ps17,rna,2
Rpl3,rna,3
Rpl29,rna,0
Rpl18a,rna,3
Rad17,rna,3
Rpl18,rna,2
Rnpepl1,rna,2
Rnf185,rna,0
Rnf165,rna,2
Rnf149,rna,0
Rnf141,rna,1
Rnf10,rna,3
Rnd2,rna,1
Ring1,rna,1
Rpap2,rna,1
Rab6b,rna,6
Rab3d,rna,0
Rab3c,rna,0
Psma2,rna,1
Psip1,rna,2
Psen2,rna,0
Prrg3,rna,1
Prrg2,rna,1
Prrc2c,rna,2
Prrc2b,rna,3
Prr11,rna,1
Psmd5,rna,6
Prph,rna,0
Prpf3,rna,2
Prox1,rna,1
Prmt2,rna,3
Prkrip1,rna,3
Prkg2,rna,0
Prkd2,rna,2
Pcdh19,rna,4
Prim2,rna,4
Prpf38b,rna,3
Prdm5,rna,0
Psmg2,rna,5
Pth1r,rna,4
Rab3b,rna,1
Rab2b,rna,1
Rab18,rna,4
Rab11fip1,rna,6
RP23.60P23.4,rna,1
RP23.322E23.5,rna,3
R3hdm2,rna,1
Qk,rna,2
Ptch1,rna,3
Pxmp4,rna,5
Ptprz1,rna,4
Ptpru,rna,4
Ptprj,rna,4
Ptprf,rna,2
Ptpn5,rna,1
Ptpn21,rna,0
Ptn,rna,4
Ptma,rna,2
Ptrf,rna,1
Pcdh17,rna,6
AU040320,rna,4
Pbx3,rna,2
Mybl1,rna,6
Mus81,rna,3
Mul1,rna,0
Mtrf1l,rna,3
Mtcl1,rna,2
Mtap7d3,rna,1
Mt2,rna,1
Mybpc3,rna,7
Mt1,rna,5
Msx1,rna,0
Msi1,rna,2
Msantd4,rna,1
Mrps2,rna,1
Mrpl34,rna,4
Mrpl22,rna,1
Mrpl21,rna,2
Msx3,rna,5
Mydgf,rna,1
Myh6,rna,7
Myh7,rna,7
Ncam1,rna,2
Nbn,rna,4
Nbl1,rna,4
Nav2,rna,5
Narfl,rna,3
Nap1l1,rna,2
N6amt1,rna,3
Myom1,rna,7
Myocd,rna,4
Myo1e,rna,2
Myo10,rna,3
Mylk,rna,0
Myl9,rna,7
Myl7,rna,7
Myl4,rna,7
Myl3,rna,7
Myl2,rna,7
Mrip.ps,rna,1
Nckap5,rna,5
Mrc2,rna,1
Mpped1,rna,4
Mecom,rna,0
Mdk,rna,3
Mdfic,rna,1
Mcts2,rna,0
Mcts1,rna,3
Mcm6,rna,2
Mbtd1,rna,3
Mecp2,rna,2
Mavs,rna,0
Marveld1,rna,0
Mars,rna,2
Mark3,rna,2
Marcks,rna,2
March9,rna,1
Mapk8ip1,rna,0
Map4k5,rna,1
Mat2a,rna,2
Med25,rna,2
